%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211614, 2015/01/29 11:7:53.15)
27 244 2.294071e-01 2.482676e+02  3.353760797530412896e-01  3.386400077491998895e-01  3.416896097362041584e-01  3.506396796554326900e-01
28 253 1.919956e-01 2.534648e+02  3.348140906542539375e-01  3.348140906542539375e-01  3.381766013801097981e-01  3.473543718457222096e-01
29 262 1.725500e-01 2.483785e+02  3.340434018522501214e-01  3.340434018522501214e-01  3.401292540132999642e-01  3.461839623749256023e-01
30 271 1.586983e-01 2.459016e+02  3.340434018522501214e-01  3.371112029999494553e-01  3.415320552885532379e-01  3.447615057229995728e-01
31 280 1.439725e-01 2.469156e+02  3.340434018522501214e-01  3.369732618331909291e-01  3.422281302511692158e-01  3.479498401284217834e-01
32 289 1.340384e-01 2.501850e+02  3.340434018522501214e-01  3.354599531739950180e-01  3.382363535463809856e-01  3.410561304539442284e-01
33 298 1.182081e-01 2.499675e+02  3.340434018522501214e-01  3.366199098527431488e-01  3.388559784740209357e-01  3.446653172373771445e-01
34 307 1.105937e-01 2.370867e+02  3.340434018522501214e-01  3.370657216757536045e-01  3.389137515798211209e-01  3.435090251266956218e-01
35 316 1.053871e-01 2.305666e+02  3.330113939940929635e-01  3.330113939940929635e-01  3.393525697290897258e-01  3.431179035454988702e-01
36 325 1.128548e-01 2.279490e+02  3.330113939940929635e-01  3.332324422895908134e-01  3.368221849203109630e-01  3.436668913811445347e-01
37 334 1.079795e-01 2.293711e+02  3.330113939940929635e-01  3.353290073573589325e-01  3.382630247622728237e-01  3.446506261825561523e-01
38 343 9.891200e-02 2.281025e+02  3.330113939940929635e-01  3.330634169280529133e-01  3.373399566859006660e-01  3.413939632475376240e-01
39 352 9.548066e-02 2.371218e+02  3.330113939940929635e-01  3.331122480332851521e-01  3.374187435954809078e-01  3.427233587950467841e-01
40 361 8.634938e-02 2.382177e+02  3.330113939940929635e-01  3.352321598678827397e-01  3.385058633983135112e-01  3.421373765915632359e-01
41 370 8.082024e-02 2.331929e+02  3.329110205173492210e-01  3.329110205173492210e-01  3.385804310441017373e-01  3.408606283366680256e-01
42 379 7.376532e-02 2.354208e+02  3.329110205173492210e-01  3.337574660778045432e-01  3.385305032134056091e-01  3.413770083338022454e-01
43 388 6.894158e-02 2.337057e+02  3.329110205173492210e-01  3.331822413951158746e-01  3.366573158651590125e-01  3.380362186580896378e-01
44 397 6.535849e-02 2.363009e+02  3.318974431604146957e-01  3.318974431604146957e-01  3.366791579872369655e-01  3.405489243566989788e-01
45 406 6.223365e-02 2.362697e+02  3.318974431604146957e-01  3.338682547211647145e-01  3.376357667148113251e-01  3.420166566967964283e-01
46 415 6.932394e-02 2.221040e+02  3.318974431604146957e-01  3.352188892662525399e-01  3.365336932241916879e-01  3.408814629539847485e-01
47 424 8.264083e-02 2.263304e+02  3.318974431604146957e-01  3.334421347826719284e-01  3.362913064658641926e-01  3.367986239492893330e-01
48 433 7.819151e-02 2.269854e+02  3.318974431604146957e-01  3.340394780039787070e-01  3.351646400988101959e-01  3.394391153007745854e-01
49 442 7.525574e-02 2.211952e+02  3.318974431604146957e-01  3.352987505495548248e-01  3.361809186637401692e-01  3.395775932818650977e-01
50 451 6.955663e-02 2.194889e+02  3.318974431604146957e-01  3.337720125913620217e-01  3.381629418581724167e-01  3.459564294666052087e-01
51 460 6.127511e-02 2.188638e+02  3.318974431604146957e-01  3.345486160367727169e-01  3.372799517586827500e-01  3.402082011103629844e-01
52 469 5.180039e-02 2.251795e+02  3.318974431604146957e-01  3.333748746663331985e-01  3.358324389904737695e-01  3.416898408904671669e-01
53 478 4.815454e-02 2.402335e+02  3.318974431604146957e-01  3.324802555143833160e-01  3.366241738200187461e-01  3.385136913508176582e-01
54 487 4.830370e-02 2.473965e+02  3.318974431604146957e-01  3.334930401295423397e-01  3.372221987694501988e-01  3.391068231314420811e-01
55 496 4.468242e-02 2.470538e+02  3.318974431604146957e-01  3.336858984082937130e-01  3.368707291781902202e-01  3.394014209508895985e-01
56 505 4.164060e-02 2.430358e+02  3.318974431604146957e-01  3.338998779654502869e-01  3.368700239807367325e-01  3.382549278438091167e-01
57 514 3.708988e-02 2.466884e+02  3.318974431604146957e-01  3.328886780887841956e-01  3.351149823516607063e-01  3.388695338740944640e-01
58 523 3.892644e-02 2.414518e+02  3.318974431604146957e-01  3.321072950959205738e-01  3.349088143557309993e-01  3.375569723546504863e-01
