%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213914, 2015/04/4 12:57:47.14)
19 172  3.175996033634812600e+01 0 0 3.259463e-01 -1.230634e-01 -4.239142e-03 -1.226536e+00 1.188606e+00 -1.189491e+00 
20 181  3.401589540401249700e+01 0 0 3.603714e-01 -2.481294e-01 5.678412e-02 -1.237333e+00 1.193438e+00 -1.176558e+00 
21 190  3.239457764640051400e+01 0 0 3.699698e-01 -2.079269e-01 -1.657519e-01 -1.213929e+00 1.185127e+00 -1.183361e+00 
22 199  3.381690381153244800e+01 0 0 3.721283e-01 -4.485309e-01 -4.383660e-02 -1.213609e+00 1.193641e+00 -1.179658e+00 
23 208  3.233590333563066100e+01 0 0 3.308284e-01 -3.418376e-01 -1.341302e-01 -1.205718e+00 1.194499e+00 -1.190466e+00 
24 217  3.176828749832404600e+01 0 0 3.624361e-01 -2.085344e-01 2.890961e-02 -1.222125e+00 1.193050e+00 -1.182054e+00 
25 226  3.107368316438189400e+01 0 0 3.467274e-01 -2.265221e-01 -1.343308e-01 -1.217043e+00 1.193932e+00 -1.191324e+00 
26 235  3.206493274761971400e+01 0 0 3.290572e-01 -2.730128e-01 -1.699093e-01 -1.219262e+00 1.184859e+00 -1.189009e+00 
27 244  3.196184964553321700e+01 0 0 3.826669e-01 -2.979484e-01 -1.213572e-01 -1.214198e+00 1.192945e+00 -1.188505e+00 
28 253  3.206100475847640800e+01 0 0 4.035765e-01 -2.411789e-01 2.674304e-03 -1.223907e+00 1.195741e+00 -1.186884e+00 
29 262  3.129299327681288300e+01 0 0 3.647288e-01 -2.673315e-01 -8.550583e-02 -1.214825e+00 1.208424e+00 -1.200464e+00 
30 271  3.132072943021946200e+01 0 0 3.768046e-01 -2.486883e-01 -2.804441e-02 -1.214674e+00 1.203566e+00 -1.197031e+00 
31 280  3.137920234167225100e+01 0 0 3.924839e-01 -2.348480e-01 -4.664532e-02 -1.215210e+00 1.199022e+00 -1.194283e+00 
32 289  3.111639368652298600e+01 0 0 3.182403e-01 -2.529261e-01 -7.563670e-02 -1.212287e+00 1.198659e+00 -1.197023e+00 
33 298  3.094374157761575000e+01 0 0 3.511995e-01 -2.402783e-01 -8.409789e-02 -1.212714e+00 1.199378e+00 -1.195107e+00 
34 307  3.091679191735354600e+01 0 0 3.233881e-01 -2.332962e-01 -1.026617e-01 -1.209025e+00 1.197878e+00 -1.196671e+00 
35 316  3.046364300148416100e+01 0 0 3.159847e-01 -1.748716e-01 -1.488736e-01 -1.213176e+00 1.197696e+00 -1.199970e+00 
36 325  3.072527826740345300e+01 0 0 3.498903e-01 -1.910310e-01 -1.059445e-01 -1.214570e+00 1.198490e+00 -1.196324e+00 
37 334  3.071148502596382100e+01 0 0 3.304795e-01 -2.102668e-01 -1.218351e-01 -1.211546e+00 1.199319e+00 -1.195336e+00 
38 343  3.021081224114193400e+01 0 0 2.838681e-01 -1.559632e-01 -1.518800e-01 -1.210076e+00 1.200218e+00 -1.200078e+00 
39 352  3.040233165432433200e+01 0 0 3.268392e-01 -1.486118e-01 -1.070425e-01 -1.215408e+00 1.200166e+00 -1.198110e+00 
40 361  3.032356615820080800e+01 0 0 2.637807e-01 -9.755612e-02 -1.848467e-01 -1.205814e+00 1.198403e+00 -1.202768e+00 
41 370  3.004921342832675200e+01 0 0 3.021192e-01 -9.879378e-02 -6.279479e-02 -1.217042e+00 1.198335e+00 -1.193050e+00 
42 379  2.983887829387884600e+01 0 0 2.518537e-01 -1.163152e-01 -1.247196e-01 -1.211841e+00 1.199607e+00 -1.197560e+00 
43 388  2.992049324689844200e+01 0 0 2.397233e-01 -9.757003e-02 -1.344445e-01 -1.209911e+00 1.200874e+00 -1.199453e+00 
44 397  3.017561089150941100e+01 0 0 3.193953e-01 -1.493394e-01 -8.578914e-02 -1.213012e+00 1.199786e+00 -1.194757e+00 
45 406  3.008988021101581700e+01 0 0 3.031482e-01 -5.938117e-02 -1.102983e-01 -1.209272e+00 1.199910e+00 -1.198686e+00 
46 415  2.988344351866436500e+01 0 0 2.981129e-01 -3.779971e-02 -7.410815e-02 -1.211076e+00 1.203455e+00 -1.197694e+00 
47 424  2.989579099291064100e+01 0 0 2.969119e-01 -3.781295e-02 -4.142794e-02 -1.213002e+00 1.202004e+00 -1.196482e+00 
48 433  2.982410777852635800e+01 0 0 2.717578e-01 -3.387215e-02 -9.774920e-02 -1.212913e+00 1.197775e+00 -1.198126e+00 
49 442  2.971327668981507100e+01 0 0 2.902975e-01 -9.167581e-03 -7.754452e-02 -1.213430e+00 1.198172e+00 -1.197928e+00 
50 451  2.960543854728634700e+01 0 0 2.878581e-01 3.779085e-02 -5.365086e-02 -1.216118e+00 1.202261e+00 -1.200769e+00 
51 460  2.972636703286589500e+01 0 0 2.858453e-01 7.113442e-02 -4.111150e-02 -1.216518e+00 1.201082e+00 -1.197269e+00 
52 469  2.970044146379866800e+01 0 0 2.756319e-01 3.403385e-02 -7.319460e-02 -1.215846e+00 1.200571e+00 -1.200089e+00 
53 478  2.977522974958589700e+01 0 0 3.041634e-01 3.993778e-02 -7.163062e-02 -1.215941e+00 1.198040e+00 -1.197831e+00 
54 487  2.976090190751336800e+01 0 0 2.741207e-01 7.040976e-02 -4.785892e-02 -1.217443e+00 1.202779e+00 -1.202291e+00 
55 496  2.961640026321195800e+01 0 0 2.925400e-01 3.634971e-02 -5.750962e-02 -1.216809e+00 1.200184e+00 -1.199196e+00 
56 505  2.952328797883214400e+01 0 0 2.860919e-01 2.975741e-02 -5.457813e-02 -1.215283e+00 1.202420e+00 -1.200536e+00 
57 514  2.957344337165432800e+01 0 0 2.663473e-01 7.352444e-02 -5.582653e-02 -1.215881e+00 1.200402e+00 -1.200815e+00 
