9.921,-2.948,-0.257
-0.562,-7.055,-0.629
-0.649,-7.026,-0.626
9.954,-2.907,-0.258
6.923,5.766,-0.522
9.961,-2.926,-0.258
-0.605,-7.03,-0.626
-0.583,-7.034,-0.627
-0.627,-7.034,-0.627
-0.318,-6.892,-0.648
6.902,5.785,-0.521
6.947,5.749,-0.522
-0.662,-7.053,-0.63
-0.079,-6.822,-0.638
-0.507,-7.128,-0.593
10.027,-2.826,-0.26
10.05,-2.378,-0.381
-0.362,-6.914,-0.651
10.042,-2.796,-0.26
10.056,-2.418,-0.316
-0.441,-7.33,-0.566
6.987,5.764,-0.525
-0.341,-6.927,-0.652
-0.687,-7.076,-0.633
-0.554,-7.156,-0.596
-0.385,-6.929,-0.653
-0.101,-6.837,-0.64
-0.419,-7.351,-0.568
0.431,-6.671,-0.656
0.442,-6.672,-0.656
0.389,-6.658,-0.654
10.081,-2.773,-0.261
-0.575,-7.137,-0.594
-0.532,-7.168,-0.597
0.41,-6.661,-0.654
9.982,-2.881,-0.259
-0.711,-7.094,-0.635
10.101,-2.761,-0.262
0.701,-9.745,-0.402
10.119,-2.399,-0.319
0.715,-9.671,-0.577
0.347,-6.668,-0.655
10.131,-2.363,-0.385
-0.122,-6.869,-0.644
0.274,-6.67,-0.655
10.131,-2.735,-0.263
-0.144,-6.856,-0.643
0.705,-9.69,-0.466
0.369,-6.683,-0.657
-0.733,-7.082,-0.634
7.105,5.786,-0.534
-0.655,-7.15,-0.596
-13.037,17.795,0.711
-0.587,-7.154,-0.596
10.172,-2.712,-0.265
0.328,-6.709,-0.66
0.297,-6.714,-0.66
10.209,-2.386,-0.323
-0.703,-7.177,-0.6
-0.681,-7.187,-0.601
10.206,-2.687,-0.266
-0.634,-7.173,-0.599
0.718,-9.778,-0.521
-0.49,-7.373,-0.571
-0.61,-7.152,-0.596
-13.15,17.978,0.821
10.249,-2.357,-0.392
0.319,-6.747,-0.665
-0.155,-6.862,-0.643
-0.464,-7.331,-0.566
-0.176,-6.864,-0.644
-0.718,-7.218,-0.605
10.268,-2.669,-0.268
9.906,-2.977,-0.256
-0.487,-6.984,-0.66
-0.263,-6.885,-0.647
10.319,-2.395,-0.329
-0.275,-6.896,-0.648
-0.51,-6.996,-0.662
-0.296,-6.897,-0.648
-0.049,-6.849,-0.602
-0.198,-6.861,-0.643
10.321,-2.648,-0.27
-0.741,-7.213,-0.604
10.313,-2.355,-0.395
7.115,5.991,-0.484
-0.765,-7.168,-0.644
23.434,2.528,-0.705
-0.514,-7.371,-0.571
10.362,-2.624,-0.272
-0.535,-7.044,-0.668
7.214,5.96,-0.488
10.348,-2.316,-0.453
10.42,-2.383,-0.333
7.256,5.956,-0.49
-0.568,-7.037,-0.668
-0.071,-6.867,-0.604
10.415,-2.62,-0.274
-0.558,-7.048,-0.669
7.281,5.957,-0.492
-0.092,-6.876,-0.605
-12.662,19.35,0.991
-0.589,-7.02,-0.666
-0.103,-6.878,-0.606
-0.57,-7.351,-0.569
-0.767,-7.246,-0.608
7.31,5.943,-0.493
-0.653,-7.242,-0.559
10.445,-2.351,-0.402
7.173,5.804,-0.539
-0.613,-7.036,-0.668
-0.811,-7.173,-0.645
-0.789,-7.178,-0.646
23.579,2.514,-0.555
-0.125,-6.874,-0.605
-0.378,-6.958,-0.616
7.205,5.792,-0.54
-0.219,-6.862,-0.644
-0.821,-7.16,-0.644
-0.211,-6.884,-0.607
23.625,2.474,-0.712
-0.842,-7.147,-0.643
-0.241,-6.873,-0.645
-0.356,-6.945,-0.614
-0.244,-6.893,-0.608
-0.234,-6.895,-0.608
-0.189,-6.867,-0.604
-0.146,-6.872,-0.605
-0.266,-6.89,-0.608
-0.333,-6.925,-0.612
-0.168,-6.879,-0.606
-12.759,19.366,0.993
-0.311,-6.93,-0.612
10.52,-2.371,-0.338
-0.289,-6.919,-0.611
-0.79,-7.25,-0.609
10.577,-2.346,-0.41
7.278,5.813,-0.546
7.287,5.802,-0.546
-0.916,-7.19,-0.649
-0.837,-7.257,-0.61
-0.818,-7.289,-0.614
-0.95,-7.186,-0.649
-0.897,-7.217,-0.652
-0.625,-7.446,-0.58
-0.024,-7.15,-0.593
-0.689,-7.373,-0.573
-13.075,18.664,0.835
7.348,5.935,-0.494
-0.879,-7.265,-0.657
-0.942,-7.211,-0.652
7.357,5.819,-0.551
10.684,-2.335,-0.415
-0.405,-7.112,-0.59
7.388,5.93,-0.496
-0.357,-7.049,-0.583
10.708,-2.378,-0.347
-0.381,-7.09,-0.588
-0.866,-7.307,-0.616
-0.879,-7.316,-0.617
7.424,6.127,-0.46
-0.9,-7.297,-0.616
7.434,5.929,-0.499
-0.337,-7.1,-0.589
-0.72,-7.454,-0.581
-0.652,-7.482,-0.584
